,City,Cloudiness,Humidity,Latitude,Longitude,Max Temp,Wind Speed
69,Rikitea,48,100,-23.12,-134.97,77.52,7.4
70,Kaeo,88,82,-35.1,173.78,69.01,10.0
71,Qaanaaq,36,73,77.48,-69.36,-3.4,6.06
72,Kapaa,90,88,22.08,-159.32,75.2,10.29
73,Cayenne,90,83,4.94,-52.33,78.8,5.82
74,Kampot,20,59,10.62,104.18,89.6,5.82
75,Palmas,80,97,-10.18,-48.33,72.3,6.06
76,Vestmanna,44,64,62.16,-7.17,39.2,16.11
77,Pochutla,40,74,15.74,-96.47,80.6,10.09
78,Afua,36,89,5.27,7.87,77.79,7.52
79,Merauke,64,100,-8.49,140.4,81.57,12.77
80,Ribeira Grande,0,100,38.52,-28.7,57.54,6.73
81,Victor Harbor,75,59,-35.55,138.62,66.0,28.86
82,Carnarvon,0,55,-30.97,22.13,49.98,3.94
83,Vaini,0,88,15.34,74.49,75.2,3.36
84,Tuktoyaktuk,75,85,69.44,-133.03,21.2,4.7
85,Tura,0,74,25.52,90.21,76.8,3.83
86,Nsunga,75,82,-1.13,31.39,68.0,4.7
87,Faanui,0,100,-16.48,-151.75,84.99,1.92
88,Sarakhs,92,93,36.54,61.16,53.6,4.7
89,Korem,24,93,12.51,39.52,52.86,1.59
90,Dikson,0,93,73.51,80.55,11.91,7.74
91,Ponta do Sol,48,69,-20.63,-46.0,70.5,8.52
92,Deputatskiy,20,77,69.3,139.9,14.97,4.72
93,Khatanga,68,87,71.98,102.47,21.27,19.82
94,Dingle,8,78,11.0,122.67,83.46,8.41
95,Ikom,8,85,5.96,8.72,74.64,3.94
96,Guerrero Negro,0,79,27.97,-114.04,61.14,11.1
97,Luorong,88,88,24.41,109.6,70.77,3.94
98,Manavalakurichi,20,62,8.13,77.3,89.6,9.17
99,Tautira,40,62,-17.73,-149.15,87.8,3.36
100,Manggar,0,93,-2.88,108.27,86.52,4.16
101,Bedesa,48,89,8.9,40.78,57.63,2.37
102,Saskylakh,48,93,71.97,114.09,19.38,13.22
103,Hilo,90,69,19.71,-155.08,75.2,10.29
104,Saint-Georges,88,89,46.12,-70.67,39.99,9.31
105,Novikovo,24,100,45.05,34.56,28.65,5.5
106,Barrow,12,60,-38.31,-60.23,63.39,11.1
107,Murray Bridge,8,55,-35.12,139.28,69.01,11.01
108,Saint George,75,54,39.45,22.34,50.0,8.05
109,Namatanai,88,100,-3.66,152.44,78.69,5.84
110,Kashin,80,79,57.36,37.61,22.17,6.29
111,Seymour,48,66,33.59,-99.26,68.0,8.01
112,East London,40,77,-33.02,27.91,68.0,12.75
113,Puerto Leguizamo,88,97,-0.19,-74.78,74.28,3.27
114,Chokurdakh,68,86,70.62,147.9,17.85,18.14
115,Nikolskoye,0,85,59.7,30.79,39.0,8.95
116,Haapiti,40,62,-17.57,-149.87,87.8,3.36
117,New Norfolk,0,27,-42.78,147.06,77.0,19.46
118,Ilo,76,99,-17.65,-71.34,63.3,1.14
119,Aksu,0,69,52.04,76.93,39.2,11.18
120,Galesong,75,79,-5.32,119.37,84.2,10.29
121,Grindavik,40,92,63.84,-22.43,33.01,29.97
122,Mecca,0,73,21.43,39.83,55.02,2.71
123,Cherskiy,48,85,68.75,161.3,2.64,7.63
124,Santa Isabel do Rio Negro,88,97,-0.41,-65.02,75.09,2.71
125,Angoram,48,66,-4.06,144.07,88.32,3.04
126,Torbay,5,73,47.66,-52.73,25.0,4.7
127,Oban,92,85,56.42,-5.47,48.0,4.0
128,Kamen-na-Obi,56,75,53.79,81.35,31.44,13.22
129,Orodara,0,53,10.98,-4.92,77.0,1.12
130,Batemans Bay,24,84,-35.71,150.18,75.0,8.01
131,Namibe,12,91,-15.19,12.15,79.5,5.17
132,Krasnorechenskiy,12,30,44.63,135.35,34.5,6.17
133,Zheleznodorozhnyy,75,86,55.75,38.0,30.2,4.47
134,Sorong,64,98,-0.86,131.25,83.55,8.41
135,Morales,68,98,8.28,-73.87,73.38,6.62
136,Ngunguru,92,82,-35.62,174.5,69.01,10.0
137,Cadillac,90,84,44.25,-85.4,42.8,2.26
138,Jumla,0,76,29.28,82.18,37.74,2.04
139,Coihaique,20,62,-45.58,-72.07,55.4,8.05
140,Tiksi,68,75,71.64,128.87,19.47,19.48
141,Ancud,90,100,-41.87,-73.83,46.4,3.71
142,Xai-Xai,8,100,-25.04,33.64,75.09,11.54
143,Turukhansk,68,92,65.8,87.96,26.67,18.59
144,Buraydah,0,50,26.33,43.97,55.4,5.95
145,Gubkinskiy,92,95,64.43,76.5,35.22,12.44
146,Cavalcante,12,88,-13.79,-47.46,69.6,4.27
147,Vardo,90,43,39.62,-77.74,55.4,5.82
148,Tambovka,0,88,46.93,35.45,25.23,4.38
149,Komsomolskiy,88,93,67.55,63.78,25.05,13.78
150,Constitucion,5,13,23.99,-104.67,69.8,11.41
151,Bargarh,0,49,25.14,81.45,81.12,4.72
152,Tasiilaq,8,56,65.61,-37.64,15.8,6.93
153,Ayagoz,76,90,47.96,80.43,46.47,12.21
154,Vinh,80,96,18.67,105.69,76.62,3.38
155,Auki,0,35,12.18,6.51,69.15,7.29
156,Gat,0,82,14.69,-16.54,68.0,16.11
157,Northam,0,100,51.04,-4.21,42.01,2.24
158,Chuy,64,88,-33.69,-53.46,65.91,10.98
159,Aguimes,40,82,27.91,-15.45,60.8,5.82
160,Kot Radha kishan,40,78,31.17,74.1,71.6,3.36
161,San Jose,44,73,15.79,120.99,82.65,3.15
162,Gornopravdinsk,80,83,60.06,69.92,33.15,7.74
163,Viedma,0,53,-40.81,-62.99,72.48,17.36
164,Butaritari,80,100,3.07,172.79,83.55,13.0
165,Candolim,40,74,15.52,73.76,84.2,6.93
166,Nayudupeta,0,62,13.91,79.9,84.2,11.41
167,Souillac,0,70,45.6,-0.6,44.6,4.7
168,Sisimiut,44,75,66.94,-53.67,-0.7,1.48
169,Munster,75,87,52.99,10.09,48.2,1.12
170,Verkh-Usugli,0,42,52.7,115.17,22.62,3.27
171,Plettenberg Bay,92,96,-34.05,23.37,66.45,7.96
172,Macau,76,97,-5.11,-36.64,73.47,2.93
173,Mount Gambier,90,93,-37.83,140.78,51.8,20.8
174,Praya,75,62,-8.71,116.27,87.8,8.05
175,Codrington,40,61,-28.95,153.24,82.4,3.36
176,Shimoda,75,57,34.7,138.93,57.2,16.11
177,Haines Junction,0,53,60.75,-137.51,36.57,2.59
178,Ilebo,20,96,-4.33,20.59,75.18,2.26
179,Luderitz,0,92,-26.65,15.16,60.42,7.85
180,Georgetown,0,94,6.8,-58.16,75.2,4.7
181,Paamiut,64,100,61.99,-49.67,27.3,22.73
182,Thompson,75,48,55.74,-97.86,21.2,4.7
183,Lianran,0,59,24.92,102.47,70.0,6.17
184,Ulladulla,0,42,-35.36,150.48,80.6,9.17
185,Airai,44,83,-8.93,125.41,78.87,1.92
186,Pabianice,40,84,51.66,19.36,39.0,1.12
187,Narsaq,0,40,60.91,-46.05,15.8,10.29
188,Sao Filipe,0,100,14.9,-24.5,69.24,14.56
189,Kavieng,80,100,-2.57,150.8,80.4,4.38
190,Mandalgovi,36,77,45.76,106.27,25.32,11.77
191,Diffa,0,23,13.32,12.61,73.92,10.76
192,Temir,0,85,49.14,57.13,28.65,9.64
193,Beni Suef,56,33,29.07,31.1,60.69,9.19
194,Mayo,90,56,63.59,-135.9,44.6,2.59
195,College,90,65,64.86,-147.8,42.8,8.05
196,Port Blair,0,100,11.67,92.75,83.55,2.59
197,Taoudenni,88,42,22.68,-3.98,72.39,5.06
198,Kaitangata,12,72,-46.28,169.85,62.01,11.99
199,Victoria,75,66,5.28,115.24,91.4,4.7
200,Bonthe,36,89,7.53,-12.5,79.32,3.94
201,Te Anau,0,54,-45.41,167.72,66.18,2.59
202,Ust-Ishim,76,87,57.69,71.17,31.98,13.22
203,Zlocieniec,88,93,53.53,16.01,45.0,8.97
204,Mackenzie,1,52,55.34,-123.09,41.0,2.24
205,Batagay,0,65,67.65,134.64,12.63,5.73
206,Hearst,76,63,49.69,-83.67,20.64,3.49
207,Longyearbyen,75,68,78.22,15.63,24.8,20.8
208,Kalmunai,0,68,7.42,81.82,81.84,4.16
209,Pevek,32,97,69.7,170.27,2.1,3.49
210,Bethel,1,56,60.79,-161.76,41.0,8.05
211,Velsk,36,85,61.07,42.1,20.37,10.65
212,Mattoon,90,100,39.48,-88.38,55.4,9.86
213,Bosaso,0,100,11.28,49.18,77.97,3.15
214,Tarko-Sale,92,83,64.92,77.78,35.01,4.0
215,Nioro,88,40,13.79,-15.05,79.14,11.88
216,Zhigansk,0,76,66.77,123.37,16.68,4.94
217,Port Hardy,40,61,50.7,-127.42,50.0,6.93
218,Dunedin,0,78,-45.87,170.5,59.0,25.01
219,Fortuna,0,87,38.18,-1.13,50.0,6.93
220,Hayden,1,75,47.77,-116.79,45.0,2.04
221,Aklavik,75,59,68.22,-135.01,35.6,6.93
222,Bulawayo,0,83,-20.16,28.59,55.47,2.93
223,Bluff,80,99,-23.58,149.07,76.53,9.42
224,Coquimbo,0,87,-29.95,-71.34,53.6,4.7
225,Grand-Santi,36,79,4.27,-54.38,77.7,4.61
226,Imbituba,75,94,-28.24,-48.67,69.8,2.24
227,Mar del Plata,0,58,-46.43,-67.52,57.72,11.77
228,La Rioja,36,81,-29.41,-66.86,62.67,6.4
229,Honiara,68,77,-9.43,159.96,83.28,2.71
230,Fort Nelson,20,52,58.81,-122.69,42.8,1.92
231,Iqaluit,90,92,63.75,-68.52,17.6,6.93
232,Hithadhoo,12,100,-0.6,73.08,83.73,2.59
233,Abu Zabad,0,25,12.35,29.25,59.25,7.18
234,Yichang,36,80,30.77,111.32,69.33,3.94
235,Trofors,92,87,65.54,13.39,42.8,18.34
236,Maragogi,92,91,-9.01,-35.22,78.42,7.18
237,Casa Grande,1,23,32.88,-111.76,77.0,6.93
238,Alto Piquiri,0,63,-24.02,-53.44,77.7,14.0
239,Port Elizabeth,40,66,39.31,-74.98,48.99,5.82
240,Poum,0,59,41.28,20.71,27.75,2.15
241,Camacha,40,82,33.08,-16.33,60.8,2.24
242,Tessalit,88,25,20.2,1.01,74.37,4.83
243,Ahuimanu,40,51,21.44,-157.84,80.6,13.87
244,Meulaboh,64,100,4.14,96.13,81.84,2.71
245,Abu Kamal,76,88,34.45,40.92,45.21,4.16
246,Rosarito,40,83,4.91,-75.23,71.6,4.7
247,Faranah,20,89,10.04,-10.74,71.04,2.71
248,Alta Floresta,64,96,-9.87,-56.08,75.18,2.15
249,Quelimane,0,94,-17.88,36.89,73.4,4.7
250,Vaitape,0,100,-16.52,-151.75,85.17,4.27
251,Naifaru,0,100,5.44,73.37,83.37,7.18
252,Havelock,1,76,34.88,-76.9,53.6,4.72
253,Bondo,12,85,3.81,23.69,75.45,2.37
254,Gondanglegi,20,86,-7.75,112.01,81.57,4.61
255,Bowen,75,88,-20.01,148.25,86.0,8.05
256,Aquiraz,75,94,-3.9,-38.39,77.0,4.7
257,Palana,0,63,59.08,159.95,25.41,7.74
258,Oranjemund,0,96,-28.55,16.43,59.34,16.91
259,Belle Glade,75,68,26.68,-80.67,71.6,9.17
260,Esperance,40,94,10.24,-61.45,77.0,7.18
261,Trincomalee,0,52,8.58,81.23,83.28,4.61
262,Iwanai,76,98,42.97,140.51,33.15,14.0
263,Yaan,8,74,7.38,8.57,79.14,12.77
264,Lompoc,1,81,34.64,-120.46,57.99,8.05
265,Nador,32,77,35.17,-2.93,59.0,11.41
266,West Bay,75,93,50.71,-2.76,44.01,1.12
267,Dakar,0,82,14.69,-17.45,68.0,16.11
268,Karratha,32,51,-20.74,116.85,91.2,4.38
269,Nome,1,88,30.04,-94.42,66.99,6.93
270,Rocha,20,89,-34.48,-54.34,59.97,8.52
271,Yulara,0,7,-25.24,130.99,93.2,10.29
272,Broken Hill,92,23,-31.97,141.45,84.2,20.8
273,Leningradskiy,80,100,69.38,178.42,5.07,12.55
274,Lamu,20,79,0.57,122.3,84.27,0.81
275,Olinda,75,69,-2.03,-79.75,80.6,6.93
276,Upington,0,39,-28.46,21.24,62.6,4.7
277,Waitati,0,78,-45.75,170.57,59.0,25.01
278,Vila Franca do Campo,40,76,37.72,-25.43,55.4,6.93
279,Duobao,0,73,30.67,112.69,70.68,4.72
280,Tromso,75,69,69.65,18.96,33.8,42.5
281,Srednekolymsk,8,58,67.46,153.71,13.44,3.27
282,Sovetskaya Gavan,76,84,48.97,140.29,25.05,10.09
283,Kibre Mengist,8,87,5.87,38.99,51.6,2.15
284,Nadym,76,96,65.53,72.51,30.36,10.65
285,Loughton,0,86,51.65,0.06,42.01,5.82
286,Bonfim,0,77,-20.33,-44.24,66.2,3.36
287,Nouadhibou,0,82,20.93,-17.03,64.4,11.41
288,Marica,75,94,-22.92,-42.82,73.99,2.24
289,Hambantota,20,79,6.12,81.12,84.2,3.36
290,Wahiawa,40,51,21.5,-158.02,80.6,13.87
291,Palmer,75,59,-34.85,139.16,69.01,28.86
292,Vanavara,20,71,60.35,102.28,30.54,4.61
293,Ust-Ordynskiy,90,92,52.8,104.75,28.4,11.18
294,Myra,20,78,58.75,8.86,42.87,9.86
295,Ilulissat,12,71,69.22,-51.1,6.8,27.51
296,Maxixe,0,100,-23.86,35.35,72.39,5.5
297,Port Lincoln,68,93,-34.72,135.86,61.95,24.85
298,Pasighat,0,56,28.06,95.33,70.41,1.03
299,Juba,0,93,57.82,26.93,37.4,16.11
300,Maniitsoq,0,68,65.42,-52.9,13.8,12.66
301,Chacabuco,8,59,-34.64,-60.47,65.19,10.31
302,Tirthahalli,0,83,13.69,75.25,77.97,1.14
303,Popondetta,24,88,-8.77,148.24,77.52,1.92
304,Coahuayana,0,57,18.62,-100.35,65.28,2.04
305,Bairnsdale,92,68,-37.83,147.63,75.99,5.01
306,Hami,0,48,42.84,93.51,52.86,11.54
307,East Linton,0,75,55.99,-2.66,46.99,13.87
308,Khandbari,24,67,27.38,87.21,36.75,1.36
309,Lagoa Vermelha,0,85,-28.21,-51.53,61.77,14.34
310,Solnechnyy,76,75,50.72,136.64,20.64,6.29
311,Port Hueneme,20,71,34.15,-119.2,60.8,11.41
312,Mont-de-Marsan,90,93,43.89,-0.5,42.8,2.24
313,Okhotsk,0,68,59.36,143.24,29.37,6.17
314,Nichinan,75,55,31.65,131.31,64.4,3.36
315,Saint-Francois,0,92,46.42,3.91,30.2,2.59
316,Rawson,0,56,-43.3,-65.11,52.32,2.59
317,Togul,8,87,53.47,85.91,30.0,12.21
318,Port-de-Bouc,0,87,43.4,4.98,48.2,6.93
319,Makat,32,71,47.65,53.35,38.01,8.97
320,Vila Velha,75,94,-3.71,-38.6,77.0,4.7
321,Baculin,64,86,7.45,126.58,80.58,9.64
322,Henties Bay,64,91,-22.12,14.28,61.0,5.99
323,Kisesa,20,94,-2.55,33.05,69.8,5.82
324,Yushu,0,48,44.84,126.53,41.52,5.17
325,Hachinohe,64,31,40.47,141.48,41.0,13.0
326,Half Moon Bay,75,81,37.46,-122.43,55.4,6.73
327,General Roca,0,88,-39.03,-67.58,62.6,9.75
328,Klaksvik,36,64,62.23,-6.59,39.2,16.11
329,Belyy Yar,0,59,53.6,91.39,33.8,2.24
330,Warrington,0,93,53.39,-2.59,43.0,4.7
331,Siocon,20,95,11.03,124.04,81.03,3.15
332,Shache,20,48,38.42,77.24,50.52,4.61
333,Naze,20,90,5.43,7.07,77.07,7.29
334,Avera,1,81,33.19,-82.53,51.8,3.15
335,Venancio Aires,0,96,-29.61,-52.19,61.0,4.5
336,Marzuq,0,83,14.4,46.47,44.22,2.59
337,Flinders,0,42,-34.58,150.85,82.0,9.17
338,Siverek,75,100,37.75,39.32,43.0,8.05
339,Itupiranga,80,98,-5.13,-49.33,75.27,2.82
340,Dunmore Town,80,100,25.5,-76.65,73.11,23.85
341,Chulman,20,54,56.84,124.9,17.13,4.61
342,Adrar,0,63,27.87,-0.29,62.6,17.22
343,Baiyin,0,19,36.55,104.13,46.4,2.24
344,Los Llanos de Aridane,92,72,28.66,-17.92,59.0,8.05
345,Tigil,0,86,57.8,158.67,23.88,13.0
346,Rio Grande,68,82,-32.03,-52.1,71.94,18.59
347,Mahebourg,40,83,-20.41,57.7,80.6,9.17
348,Itoman,75,78,26.12,127.67,78.8,16.11
349,Marrakesh,75,87,31.63,-7.99,57.2,3.36
350,Kollam,20,62,8.88,76.6,89.6,9.17
351,Tazovskiy,80,94,67.47,78.7,29.55,12.44
352,Kochevo,0,76,42.1,24.92,32.0,1.12
353,Vostok,20,39,46.45,135.83,27.3,5.61
354,Lorengau,68,95,-2.02,147.27,84.0,8.97
355,Husavik,0,79,50.56,-96.99,27.0,6.06
356,The Valley,20,78,18.22,-63.06,78.8,8.05
357,Verona,0,65,45.44,10.99,46.0,2.24
358,Wuwei,0,48,37.93,102.64,37.65,3.83
359,Aleksandrovskiy Zavod,0,47,50.92,117.94,20.01,6.17
360,Lumberton,1,88,30.27,-94.2,64.4,6.93
361,Ugoofaaru,0,100,5.67,73.0,83.37,7.18
362,Kailua,40,51,21.39,-157.74,80.6,13.87
363,Asosa,0,61,10.07,34.53,57.81,2.37
364,Kahului,40,69,20.89,-156.47,82.0,5.82
365,Kangaatsiaq,44,100,68.31,-53.46,12.72,17.02
366,Sechura,68,74,-5.56,-80.82,73.92,9.42
367,Puerto Madero,75,77,-34.61,-58.36,69.01,8.05
368,Severo-Kurilsk,64,89,50.68,156.12,33.24,13.0
369,Hualmay,44,90,-11.1,-77.61,67.62,3.71
370,Kodinsk,92,70,58.6,99.18,31.17,3.38
371,Egvekinot,64,84,66.32,-179.17,19.74,3.49
372,Revelstoke,1,64,50.99,-118.19,39.2,1.48
373,Taltal,0,89,-25.41,-70.49,55.56,0.81
374,Monywa,0,67,22.12,95.13,82.02,5.39
375,Byron Bay,75,58,-28.65,153.62,84.0,10.29
376,Kyzyl-Suu,12,100,42.34,78.0,39.72,1.92
377,La Ronge,90,80,55.1,-105.3,35.6,12.75
378,Madona,12,85,56.85,26.22,36.66,9.98
379,Acapulco,20,74,16.86,-99.88,82.4,4.7
380,Tsabong,0,86,-26.02,22.4,62.85,2.93
381,Puerto del Rosario,0,77,28.5,-13.86,64.4,8.05
382,Pimentel,80,96,-3.7,-45.5,75.09,2.15
383,Nyurba,44,65,63.29,118.35,26.85,3.71
384,Port Hedland,64,50,-20.31,118.58,96.8,5.82
385,Omboue,88,100,-1.57,9.26,82.92,9.98
386,Floro,92,87,61.6,5.03,48.0,25.28
387,Axim,0,96,4.87,-2.24,83.28,11.1
388,Talnakh,92,92,69.49,88.39,24.51,16.24
389,Ulaangom,0,67,49.98,92.07,24.42,3.15
390,Talovaya,24,87,51.12,40.73,22.17,8.19
391,Socha,44,91,6.0,-72.69,51.87,1.7
392,Amnat Charoen,44,85,15.86,104.63,80.4,4.61
393,Saint Anthony,1,64,43.97,-111.68,41.0,6.93
394,Road Town,75,83,18.42,-64.62,78.8,8.05
395,Dwarka,0,48,28.58,77.04,86.0,4.83
396,Babai,0,63,49.9,36.2,30.2,4.47
397,Carndonagh,88,87,55.25,-7.27,47.37,15.79
398,Trebinje,0,23,42.71,18.35,55.4,23.04
399,Berdigestyakh,0,58,62.1,126.7,19.2,3.83
400,Praia,0,77,-20.25,-43.81,66.2,3.36
401,Kutum,8,32,14.2,24.66,52.59,4.72
402,Hauterive,0,69,46.09,3.45,37.4,1.12
403,Alexandria,1,67,31.31,-92.44,66.99,5.82
404,Santa Maria,0,93,-29.69,-53.81,66.2,8.05
405,Mildura,76,26,-34.18,142.16,82.0,8.05
406,Tyrma,32,53,50.04,132.17,25.5,3.6
407,Barra do Bugres,88,95,-15.07,-57.19,73.02,6.17
408,Chipata,0,86,-13.64,32.65,58.98,5.84
409,Yar-Sale,76,88,66.83,70.83,25.05,12.33
410,Lavrentiya,80,98,65.58,-170.99,32.16,18.48
411,Pakdasht,20,61,35.48,51.68,48.2,4.7
412,Tumen,68,36,42.97,129.84,39.18,3.15
413,Thinadhoo,20,100,0.53,72.93,83.46,4.61
414,Filimonovo,24,75,54.21,39.6,24.01,3.15
415,Sibolga,44,92,1.74,98.78,76.17,2.26
416,San Cristobal,75,87,-0.39,-78.55,59.0,2.24
417,Ossora,88,94,59.24,163.07,21.99,20.38
418,Bridlington,0,93,54.08,-0.19,43.0,9.17
419,Opuwo,76,93,-18.06,13.84,59.79,2.82
420,Ukiah,75,87,39.15,-123.21,51.01,4.7
421,Rome,0,52,41.89,12.48,48.0,3.36
422,Tuatapere,12,78,-46.13,167.69,62.01,5.01
423,Brokopondo,0,94,5.06,-54.98,75.2,3.36
424,Labuhan,76,80,-2.54,115.51,83.01,3.04
425,Kielce,0,1,50.87,20.63,35.01,6.62
426,Mabaruma,92,81,8.2,-59.78,79.86,8.97
427,Olga,20,63,34.11,-118.17,62.6,17.22
428,Amazar,0,39,53.86,120.88,20.82,5.95
429,Qaqortoq,12,40,60.72,-46.03,15.8,10.29
430,Humaita,90,87,-24.93,-65.37,59.0,2.24
431,Fort-Shevchenko,88,97,44.51,50.26,42.42,11.65
432,Port Macquarie,40,51,-31.43,152.91,82.99,10.29
433,Lagoa,0,66,37.14,-8.45,55.4,12.75
434,Raudeberg,92,87,61.99,5.14,48.0,25.28
435,Eureka,90,87,40.8,-124.16,51.01,4.7
436,Port-Gentil,56,95,-0.72,8.78,82.92,7.52
437,Mayumba,92,100,-3.44,10.65,76.26,2.37
438,Noumea,0,55,-22.28,166.46,89.6,9.17
439,Lishui,92,91,28.45,119.91,60.06,2.04
440,Hopelchen,5,60,19.77,-89.85,75.2,17.22
441,Svetlaya,48,90,46.54,138.33,30.27,5.95
442,Kiama,0,42,-34.67,150.86,80.6,9.17
443,Iguape,100,100,-24.7,-47.56,70.32,6.29
444,Capitan Bado,0,71,-23.27,-55.53,77.07,5.5
445,Sao Joao da Barra,92,100,-21.64,-41.05,73.92,10.98
446,Bowmore,1,76,34.94,-79.3,55.0,6.93
447,Notre-Dame-du-Lac,90,59,47.61,-68.8,37.4,11.41
448,Khairpur Nathan Shah,56,47,27.09,67.73,80.94,2.71
449,Nhulunbuy,75,43,-12.18,136.78,89.6,9.17
450,Areka,32,97,7.07,37.71,54.57,2.59
451,Shingu,0,58,33.72,135.99,59.0,8.05
452,Bungu,44,97,-7.63,39.06,74.28,2.37
453,Verkhnyaya Inta,68,82,65.99,60.32,29.19,4.38
454,Brae,92,87,60.4,-1.35,48.2,36.91
455,Kieta,76,100,-6.22,155.63,77.7,3.15
456,Jinka,88,92,5.79,36.57,62.31,1.92
457,Prescott,1,34,34.54,-112.47,60.01,9.17
458,Krasnovishersk,68,79,60.4,57.08,27.03,2.82
459,Andrews,1,82,32.32,-102.55,66.2,11.41
460,Semirom,0,57,31.41,51.57,13.17,1.92
461,Murupara,68,68,-38.46,176.71,72.0,3.0
462,Sabzevar,68,84,36.21,57.68,40.35,2.15
463,Baghdad,0,71,33.3,44.38,55.4,5.82
464,Berlevag,40,86,70.86,29.09,33.8,18.34
465,Miri,8,50,10.31,9.75,65.37,4.16
466,Mahon,75,93,51.89,-8.4,42.8,5.82
467,Madera,1,71,36.96,-120.06,62.6,12.75
468,Tilichiki,88,85,60.47,166.1,22.26,14.23
469,Ucluelet,20,83,48.94,-125.55,51.01,1.14
470,Inta,32,86,66.04,60.13,28.92,5.06
471,Johnstown,90,43,40.33,-78.92,57.99,10.29
472,Cabedelo,20,94,-6.97,-34.84,77.0,4.7
473,Teya,5,60,21.05,-89.07,73.4,11.41
474,Kloulklubed,75,62,7.04,134.26,86.0,11.41
475,Belaya Gora,8,83,68.54,146.19,16.14,9.75
476,Klamath Falls,90,86,42.22,-121.78,37.99,4.7
477,Salalah,0,78,17.01,54.1,73.4,3.36
